,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
47,2020,Amapá,Privada,32.15217,2348.052
50,2020,Amapá,Pública,38.84109,5946.596
53,2020,Tocantins,Estadual,40.0,3750.222
56,2020,Tocantins,Privada,27.45166,3469.827
59,2020,Tocantins,Pública,36.60252,4125.607
62,2020,Maranhão,Estadual,20.00497,8515.134
65,2020,Maranhão,Privada,29.69631,2325.809
68,2020,Maranhão,Pública,24.32324,5591.317
71,2020,Piauí,Estadual,29.95902,3393.171
74,2020,Piauí,Privada,27.45441,2731.091
77,2020,Piauí,Pública,32.76771,4109.794
80,2020,Ceará,Estadual,30.33403,3381.281
83,2020,Ceará,Privada,30.32539,1977.413
86,2020,Ceará,Pública,29.2964,4098.503
89,2020,Rio Grande do Norte,Estadual,30.17061,4699.665
92,2020,Rio Grande do Norte,Privada,30.67799,1996.164
95,2020,Rio Grande do Norte,Pública,30.92382,5378.284
98,2020,Paraíba,Estadual,30.00565,3678.116
101,2020,Paraíba,Privada,26.39157,2096.676
104,2020,Paraíba,Pública,34.84702,3672.867
107,2020,Pernambuco,Estadual,35.06997,3513.202
110,2020,Pernambuco,Privada,29.49202,2421.757
113,2020,Pernambuco,Pública,35.19068,3751.987
116,2020,Alagoas,Estadual,32.76381,2542.03
119,2020,Alagoas,Privada,27.74485,2154.603
122,2020,Alagoas,Pública,30.24757,3811.253
125,2020,Sergipe,Estadual,39.78257,5154.407
128,2020,Sergipe,Privada,30.56705,1857.297
131,2020,Sergipe,Pública,38.25631,5153.299
134,2020,Bahia,Estadual,31.04085,7248.096
137,2020,Bahia,Privada,28.25162,2546.799
140,2020,Bahia,Pública,28.72737,5653.202
143,2020,Minas Gerais,Estadual,24.34042,4897.691
146,2020,Minas Gerais,Privada,26.70093,3859.26
149,2020,Minas Gerais,Pública,25.14636,5017.79
152,2020,Espírito Santo,Estadual,28.07888,4455.225
